guid,sn,caption,con_name,recordtime,frameworkversion
"a9ce9783-4e88-4dcd-a710-a29d94c44f10","NXHVUSI00N20402BEC7600","Intel(R) Dual Band Wireless-AC 3168","Wi-Fi","2022-07-29 10:43","5.0.3012"
"a9ce9783-4e88-4dcd-a710-a29d94c44f10","NXHVUSI00N20402BEC7600","Realtek PCIe GbE Family Controller","Ethernet","2022-07-29 10:43","5.0.3012"
