guid,sn,caption,manufacturer,recordtime,frameworkversion
"a9ce9783-4e88-4dcd-a710-a29d94c44f10","NXHVUSI00N20402BEC7600","AMD High Definition Audio Device","Advanced Micro Devices","2022-07-29 10:43","5.0.3012"
"a9ce9783-4e88-4dcd-a710-a29d94c44f10","NXHVUSI00N20402BEC7600","Realtek Audio","Microsoft","2022-07-29 10:43","5.0.3012"
