guid,sn,caption,description,type,freespace,size,filesystem,recordtime,frameworkversion
"a9ce9783-4e88-4dcd-a710-a29d94c44f10","NXHVUSI00N20402BEC7600","C:","Local Fixed Disk","Local Disk","93.05 GB","133.87 GB","NTFS","2022-07-29 10:43","5.0.3012"
"a9ce9783-4e88-4dcd-a710-a29d94c44f10","NXHVUSI00N20402BEC7600","D:","Local Fixed Disk","Local Disk","341.65 GB","341.80 GB","NTFS","2022-07-29 10:43","5.0.3012"
