[INFO]      20220126_17:09:34.733 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:09:34.733 | ACCSvc | OnSessionChange | event_type 6 event_data 1
[INFO]      20220126_17:09:34.733 | ACCSvc | OnSessionChange | WTS_SESSION_LOGOFF
[INFO]      20220126_17:09:34.733 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:09:57.236 | ACCSvc | OnStart | ACCService in OnStart
[INFO]      20220126_17:09:57.256 | ACCSvc | ServiceWorkerThread | ServiceWorkerThread Enter
[INFO]      20220126_17:09:57.283 | ACCSvc | RegisterPowerETW | ERROR_SUCCESS
[ERROR]     20220126_17:09:57.283 | ACCSvc | RegisterPowerETW | CreateThread
[INFO]      20220126_17:09:57.723 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:09:57.723 | ACCSvc | OnSessionChange | event_type 1 event_data 1
[INFO]      20220126_17:09:57.723 | ACCSvc | OnSessionChange | WTS_CONSOLE_CONNECT
[INFO]      20220126_17:09:57.723 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:09:58.491 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:09:58.491 | ACCSvc | OnSessionChange | event_type 5 event_data 1
[INFO]      20220126_17:09:58.491 | ACCSvc | OnSessionChange | WTS_SESSION_LOGON
[INFO]      20220126_17:09:58.491 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:17:47.676 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:17:47.676 | ACCSvc | OnSessionChange | event_type 6 event_data 1
[INFO]      20220126_17:17:47.676 | ACCSvc | OnSessionChange | WTS_SESSION_LOGOFF
[INFO]      20220126_17:17:47.676 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:18:09.150 | ACCSvc | OnStart | ACCService in OnStart
[INFO]      20220126_17:18:09.197 | ACCSvc | ServiceWorkerThread | ServiceWorkerThread Enter
[INFO]      20220126_17:18:09.228 | ACCSvc | RegisterPowerETW | ERROR_SUCCESS
[ERROR]     20220126_17:18:09.228 | ACCSvc | RegisterPowerETW | CreateThread
[INFO]      20220126_17:18:09.432 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:18:09.432 | ACCSvc | OnSessionChange | event_type 1 event_data 1
[INFO]      20220126_17:18:09.432 | ACCSvc | OnSessionChange | WTS_CONSOLE_CONNECT
[INFO]      20220126_17:18:09.432 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:18:10.280 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:18:10.295 | ACCSvc | OnSessionChange | event_type 5 event_data 1
[INFO]      20220126_17:18:10.295 | ACCSvc | OnSessionChange | WTS_SESSION_LOGON
[INFO]      20220126_17:18:10.295 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:21:19.021 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:21:19.021 | ACCSvc | OnSessionChange | event_type 6 event_data 1
[INFO]      20220126_17:21:19.021 | ACCSvc | OnSessionChange | WTS_SESSION_LOGOFF
[INFO]      20220126_17:21:19.021 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:21:42.045 | ACCSvc | OnStart | ACCService in OnStart
[INFO]      20220126_17:21:42.045 | ACCSvc | ServiceWorkerThread | ServiceWorkerThread Enter
[INFO]      20220126_17:21:42.076 | ACCSvc | RegisterPowerETW | ERROR_SUCCESS
[ERROR]     20220126_17:21:42.076 | ACCSvc | RegisterPowerETW | CreateThread
[INFO]      20220126_17:21:42.249 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:21:42.249 | ACCSvc | OnSessionChange | event_type 1 event_data 1
[INFO]      20220126_17:21:42.249 | ACCSvc | OnSessionChange | WTS_CONSOLE_CONNECT
[INFO]      20220126_17:21:42.249 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:21:42.986 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:21:42.986 | ACCSvc | OnSessionChange | event_type 5 event_data 1
[INFO]      20220126_17:21:42.986 | ACCSvc | OnSessionChange | WTS_SESSION_LOGON
[INFO]      20220126_17:21:42.986 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:22:23.222 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:22:23.222 | ACCSvc | OnSessionChange | event_type 6 event_data 1
[INFO]      20220126_17:22:23.222 | ACCSvc | OnSessionChange | WTS_SESSION_LOGOFF
[INFO]      20220126_17:22:23.222 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:22:47.790 | ACCSvc | OnStart | ACCService in OnStart
[INFO]      20220126_17:22:47.806 | ACCSvc | ServiceWorkerThread | ServiceWorkerThread Enter
[INFO]      20220126_17:22:47.838 | ACCSvc | RegisterPowerETW | ERROR_SUCCESS
[ERROR]     20220126_17:22:47.853 | ACCSvc | RegisterPowerETW | CreateThread
[INFO]      20220126_17:22:48.037 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:22:48.037 | ACCSvc | OnSessionChange | event_type 1 event_data 1
[INFO]      20220126_17:22:48.037 | ACCSvc | OnSessionChange | WTS_CONSOLE_CONNECT
[INFO]      20220126_17:22:48.037 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:22:48.998 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:22:48.998 | ACCSvc | OnSessionChange | event_type 5 event_data 1
[INFO]      20220126_17:22:48.998 | ACCSvc | OnSessionChange | WTS_SESSION_LOGON
[INFO]      20220126_17:22:48.998 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:24:29.910 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:24:29.910 | ACCSvc | OnSessionChange | event_type 6 event_data 1
[INFO]      20220126_17:24:29.910 | ACCSvc | OnSessionChange | WTS_SESSION_LOGOFF
[INFO]      20220126_17:24:29.910 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:24:56.054 | ACCSvc | OnStart | ACCService in OnStart
[INFO]      20220126_17:24:56.069 | ACCSvc | ServiceWorkerThread | ServiceWorkerThread Enter
[INFO]      20220126_17:24:56.085 | ACCSvc | RegisterPowerETW | ERROR_SUCCESS
[ERROR]     20220126_17:24:56.085 | ACCSvc | RegisterPowerETW | CreateThread
[INFO]      20220126_17:24:56.242 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:24:56.242 | ACCSvc | OnSessionChange | event_type 1 event_data 1
[INFO]      20220126_17:24:56.242 | ACCSvc | OnSessionChange | WTS_CONSOLE_CONNECT
[INFO]      20220126_17:24:56.242 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:24:57.125 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:24:57.125 | ACCSvc | OnSessionChange | event_type 5 event_data 1
[INFO]      20220126_17:24:57.137 | ACCSvc | OnSessionChange | WTS_SESSION_LOGON
[INFO]      20220126_17:24:57.137 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220126_17:33:44.076 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220126_17:33:44.076 | ACCSvc | OnSessionChange | event_type 6 event_data 1
[INFO]      20220126_17:33:44.076 | ACCSvc | OnSessionChange | WTS_SESSION_LOGOFF
[INFO]      20220126_17:33:44.092 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_18:48:07.286 | ACCSvc | OnStart | ACCService in OnStart
[INFO]      20220728_18:48:07.302 | ACCSvc | ServiceWorkerThread | ServiceWorkerThread Enter
[INFO]      20220728_18:48:07.333 | ACCSvc | RegisterPowerETW | ERROR_SUCCESS
[ERROR]     20220728_18:48:07.350 | ACCSvc | RegisterPowerETW | CreateThread
[INFO]      20220728_18:48:16.462 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_18:48:16.462 | ACCSvc | OnSessionChange | event_type 1 event_data 1
[INFO]      20220728_18:48:16.462 | ACCSvc | OnSessionChange | WTS_CONSOLE_CONNECT
[INFO]      20220728_18:48:16.462 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_18:48:16.635 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_18:48:16.651 | ACCSvc | OnSessionChange | event_type 5 event_data 1
[INFO]      20220728_18:48:16.651 | ACCSvc | OnSessionChange | WTS_SESSION_LOGON
[INFO]      20220728_18:48:16.651 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_18:49:02.447 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_18:49:02.447 | ACCSvc | OnSessionChange | event_type 6 event_data 1
[INFO]      20220728_18:49:02.447 | ACCSvc | OnSessionChange | WTS_SESSION_LOGOFF
[INFO]      20220728_18:49:02.447 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_18:49:20.804 | ACCSvc | OnStart | ACCService in OnStart
[INFO]      20220728_18:49:20.837 | ACCSvc | ServiceWorkerThread | ServiceWorkerThread Enter
[INFO]      20220728_18:49:20.837 | ACCSvc | RegisterPowerETW | ERROR_SUCCESS
[ERROR]     20220728_18:49:20.837 | ACCSvc | RegisterPowerETW | CreateThread
[INFO]      20220728_18:49:21.353 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_18:49:21.353 | ACCSvc | OnSessionChange | event_type 5 event_data 1
[INFO]      20220728_18:49:21.353 | ACCSvc | OnSessionChange | WTS_SESSION_LOGON
[INFO]      20220728_18:49:21.353 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_18:50:14.129 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_18:50:14.129 | ACCSvc | OnSessionChange | event_type 6 event_data 1
[INFO]      20220728_18:50:14.129 | ACCSvc | OnSessionChange | WTS_SESSION_LOGOFF
[INFO]      20220728_18:50:14.129 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_18:50:14.254 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_18:50:14.254 | ACCSvc | OnSessionChange | event_type 2 event_data 1
[INFO]      20220728_18:50:14.254 | ACCSvc | OnSessionChange | WTS_CONSOLE_DISCONNECT
[INFO]      20220728_18:50:14.254 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_18:50:14.926 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_18:50:14.926 | ACCSvc | OnSessionChange | event_type 1 event_data 2
[INFO]      20220728_18:50:14.926 | ACCSvc | OnSessionChange | WTS_CONSOLE_CONNECT
[INFO]      20220728_18:50:14.926 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_18:50:15.176 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_18:50:15.176 | ACCSvc | OnSessionChange | event_type 5 event_data 2
[INFO]      20220728_18:50:15.176 | ACCSvc | OnSessionChange | WTS_SESSION_LOGON
[INFO]      20220728_18:50:15.176 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:14:01.299 | ACCSvc | OnPowerEvent | OnPowerEvent Enter
[INFO]      20220728_19:14:01.314 | ACCSvc | OnPowerEvent | event_type a event_data 0
[INFO]      20220728_19:14:01.333 | ACCSvc | OnPowerEvent | OnPowerEvent End
